Retail,year,Employee,Store,Operating expense,Inventories,Net Sales,Cost of sales
Sun Art Retail,2023,"86,226",507,"2,850,994,480","1,073,327,062","9,689,529,480","7,609,025,015"
Sun Art Retail,2024,"83,957",505,"2,359,076,477","1,039,798,362","9,536,289,200","7,551,801,927"
Shoprite Holdings,2020,"141,452","2,352","1,789,365,120","1,275,314,311","10,517,130,365","8,075,050,651"
Shoprite Holdings,2021,"142,602","2,400","1,842,327,426","1,189,967,183","10,869,220,793","8,203,308,774"
Shoprite Holdings,2022,"145,595","2,476","1,940,708,922","1,322,188,781","11,124,176,901","8,401,056,619"
Shoprite Holdings,2023,"153,726","2,791","2,167,509,274","1,429,396,196","12,246,205,210","9,300,475,449"
Shoprite Holdings,2024,"160,216","3,031","2,308,884,050","1,548,117,810","13,140,795,620","9,988,223,120"
BJ’s Wholesale Club,2020,"32,017",216,"2,820,114,259","1,461,347,525","18,298,024,335","15,091,152,554"
BJ’s Wholesale Club,2021,"34,000",226,"2,832,156,548","1,438,886,924","18,877,105,702","15,730,891,898"
BJ’s Wholesale Club,2022,"34,000",235,"2,860,366,420","1,477,631,266","20,278,155,143","17,025,280,709"
BJ’s Wholesale Club,2023,"34,000",243,"2,905,763,732","1,497,732,342","20,124,584,511","16,807,672,290"
BJ’s Wholesale Club,2024,"33,000",250,"2,963,883,000","1,508,988,000","20,045,329,000","16,737,378,000"
Coles Group,2020,"118,000","2,500","6,366,422,249","1,706,431,208","29,767,219,187","22,093,005,708"
Coles Group,2021,"120,000","2,500","6,427,362,099","1,613,733,549","29,817,690,806","22,036,998,294"
Coles Group,2022,"120,000","2,479","6,291,292,714","1,758,917,835","28,287,106,313","20,987,740,999"
Coles Group,2023,"120,000","2,500","6,020,431,221","1,580,635,367","27,545,786,294","20,435,989,071"
Coles Group,2024,"115,000","2,534","6,249,175,571","1,782,746,340","28,736,974,014","21,302,598,602"
Albertsons,2020,"270,000","2,277","22,829,695,500","5,213,336,798","84,467,376,551","59,724,237,488"
